NAME,PLAYERID,TEAM_1,TEAM_2,WINS,LOSSES,SAVES,GAMES_PITCHED,GAMES_STARTED,INNINGS_PITCHED,STRIKEOUTS_PER_NINE_INNINGS,WALKS_PER_NINE_INNINGS,HOME_RUNS_PER_NINE_INNINGS,BABIP,LEFT_ON_BASE_PERCENT,GROUND_BALL_PERCENT,HOME_RUN_TO_FLY_BALL,EARNED_RUN_AVERAGE,FIELDING_INDEPENDENT_PITCHING,EXPECTED_FIELDING_INDEPENDENT_PITCHING,WINS_ABOVE_REPLACEMENT
Tom Wilhelmsen,9975,SEA,NULL,0,3,24,59,0,59,6.86,5.03,0.31,0.253,66.9 %,43.5 %,3.5 %,4.12,3.69,4.57,0.2
Gavin Floyd,3886,CWS,NULL,0,4,0,5,5,24.1,9.25,4.44,1.48,0.333,71.9 %,50.0 %,20.0 %,5.18,4.61,3.6,0.2
Vidal Nuno,9674,NYY,NULL,1,2,0,5,3,20,4.05,2.7,0.9,0.219,89.1 %,34.8 %,6.5 %,2.25,4.5,5.32,0.2
Carlos Torres,7624,NYM,NULL,4,6,0,33,9,86.1,7.82,1.77,1.56,0.266,83.5 %,43.6 %,16.3 %,3.44,4.3,3.5,0.2
Daniel Webb,10558,CWS,NULL,0,0,0,9,0,11.1,7.94,3.18,0,0.281,69.2 %,56.3 %,0.0 %,3.18,2.34,3.19,0.2
Buddy Boshers,8490,LAA,NULL,0,0,0,25,0,15.1,7.63,4.7,0,0.317,63.6 %,43.9 %,0.0 %,4.7,3.11,4.27,0.2
Marc Rzepczynski,6612,- - -,NULL,0,0,0,38,0,30.2,8.51,2.93,0.59,0.298,73.3 %,56.0 %,8.7 %,3.23,3.37,3.55,0.2
Juan Perez,2557,TOR,NULL,1,2,0,19,0,31.2,9.38,4.26,0.85,0.253,63.2 %,59.8 %,14.3 %,3.69,3.71,3.39,0.2
Michael Tonkin,10315,MIN,NULL,0,0,0,9,0,11.1,7.94,2.38,0,0.265,50.0 %,41.2 %,0.0 %,0.79,2.08,3.52,0.2
James McDonald,5523,PIT,NULL,2,2,0,6,6,29.2,7.58,6.07,0.3,0.315,55.3 %,42.2 %,2.7 %,5.76,4.13,5.39,0.2
Kyuji Fujikawa,14443,CHC,NULL,1,1,2,12,0,12,10.5,1.5,0.75,0.323,58.8 %,50.0 %,10.0 %,5.25,2.8,2.85,0.2
Chad Jenkins,10326,TOR,NULL,1,0,0,10,3,33.1,4.05,1.62,0.81,0.262,74.0 %,45.8 %,8.3 %,2.7,3.95,4.25,0.2
Chris Withrow,7161,LAD,NULL,3,0,1,26,0,34.2,11.16,3.38,1.3,0.205,88.5 %,35.9 %,14.7 %,2.6,3.57,3.03,0.2
Joakim Soria,6941,TEX,NULL,1,0,0,26,0,23.2,10.65,5.32,0.76,0.286,76.2 %,51.8 %,11.8 %,3.8,3.68,3.56,0.2
Francisley Bueno,5980,KCA,NULL,1,0,0,7,0,8.1,5.4,2.16,0,0.167,100.0 %,52.4 %,0.0 %,0,2.57,4.04,0.2
Esmil Rogers,6317,TOR,NULL,5,9,0,44,20,137.2,6.28,2.88,1.37,0.304,73.0 %,47.2 %,15.8 %,4.77,4.73,4.06,0.2
John Danks,6329,CWS,NULL,4,14,0,22,22,138.1,5.79,1.76,1.82,0.283,70.7 %,41.4 %,16.8 %,4.75,5.06,4.08,0.2
Sean O'Sullivan,9137,SDN,NULL,0,2,0,7,3,25,4.32,5.04,0,0.341,73.9 %,45.6 %,0.0 %,3.96,3.89,5.64,0.2
Jon Rauch,1475,MIA,NULL,1,2,0,15,0,16.2,8.1,3.78,0.54,0.393,57.4 %,45.5 %,5.6 %,7.56,3.47,4.16,0.2
Cesar Ramos,3357,TBA,NULL,2,2,1,48,0,67.1,7.08,2.94,0.8,0.293,72.3 %,40.9 %,8.2 %,4.14,3.7,4.02,0.2
Stolmy Pimentel,6415,PIT,NULL,0,0,0,5,0,9.1,8.68,1.93,0,0.222,50.0 %,40.7 %,0.0 %,1.93,1.76,3.37,0.2
Brandon Gomes,2267,TBA,NULL,3,1,0,26,0,19.1,13.5,3.26,1.86,0.326,51.6 %,22.2 %,13.8 %,6.52,3.82,3.18,0.2
Joe Ortiz,7955,TEX,NULL,2,2,0,32,0,44.2,5.44,2.01,1.01,0.283,61.2 %,39.5 %,11.6 %,4.23,3.97,3.83,0.2
Matt Daley,7952,NYY,NULL,1,0,0,7,0,6,12,0,0,0.167,100.0 %,58.3 %,0.0 %,0,0.88,1.79,0.2
Matt Shoemaker,4776,LAA,NULL,0,0,0,1,1,5,9,3.6,0,0.167,100.0 %,41.7 %,0.0 %,0,2.25,3.34,0.2
Jerome Williams,1137,LAA,NULL,9,10,0,37,25,169.1,5.69,2.92,1.22,0.293,70.7 %,47.1 %,13.1 %,4.57,4.6,4.24,0.1
Preston Claiborne,10500,NYY,NULL,0,2,0,44,0,50.1,7.51,2.5,1.25,0.295,76.9 %,44.8 %,12.3 %,4.11,4.14,3.88,0.1
Dustin McGowan,8600,TOR,NULL,0,0,0,25,0,25.2,9.12,4.21,0.7,0.236,72.9 %,46.6 %,6.9 %,2.45,3.67,4.2,0.1
Brad Peacock,5401,HOU,NULL,5,6,0,18,14,83.1,8.32,4,1.62,0.27,69.1 %,36.8 %,13.6 %,5.18,4.98,4.44,0.1
Edward Mujica,3970,STL,NULL,2,1,37,65,0,64.2,6.4,0.7,1.25,0.263,86.1 %,45.2 %,11.7 %,2.78,3.71,3.53,0.1
Jimmy Nelson,10547,MIL,NULL,0,0,0,4,1,10,7.2,4.5,0,0.083,85.7 %,41.7 %,0.0 %,0.9,2.95,3.77,0.1
Vic Black,9195,- - -,NULL,3,0,1,18,0,17,7.94,3.18,0.53,0.308,76.3 %,30.2 %,4.0 %,3.71,3.46,4.7,0.1
Lucas Luetge,8337,SEA,NULL,1,3,0,35,0,37,6.57,3.89,0.49,0.339,66.4 %,49.6 %,6.7 %,4.86,3.75,4.16,0.1
Sam Freeman,6832,STL,NULL,1,0,0,13,0,12.1,5.84,3.65,0,0.216,76.9 %,38.9 %,0.0 %,2.19,2.97,4.63,0.1
Rich Hill,4806,CLE,NULL,1,2,0,63,0,38.2,11.87,6.75,0.7,0.361,60.2 %,41.8 %,8.1 %,6.28,3.82,4.12,0.1
Joe Martinez,3935,CLE,NULL,1,0,0,2,0,5,5.4,0,0,0.25,75.0 %,18.8 %,0.0 %,1.8,1.85,3.76,0.1
Kris Johnson,886,PIT,NULL,0,2,0,4,1,10.1,7.84,3.48,0,0.375,58.8 %,46.9 %,0.0 %,6.1,2.76,3.95,0.1
Donnie Veal,4741,CWS,NULL,2,3,0,50,0,29.1,8.9,4.91,0.92,0.295,68.8 %,52.6 %,12.5 %,4.6,4.04,3.82,0.1
Frank Francisco,1933,NYM,NULL,1,0,1,8,0,6.1,8.53,4.26,0,0.25,62.5 %,43.8 %,0.0 %,4.26,3.05,4.34,0.1
Juan Gutierrez,3265,- - -,NULL,1,5,0,53,0,55.1,7.32,3.25,0.81,0.309,68.6 %,42.6 %,8.1 %,4.23,3.73,4.09,0.1
Jake Arrieta,4153,- - -,NULL,5,4,0,14,14,75.1,7.17,4.9,1.08,0.239,69.3 %,40.4 %,12.3 %,4.78,4.84,4.61,0.1
Ryan Mattheus,7169,WSH,NULL,0,2,0,37,0,35.1,5.6,3.82,0.25,0.398,62.5 %,57.8 %,4.0 %,6.37,3.44,4.04,0.1
Luis Mendoza,3126,KCA,NULL,2,6,0,22,15,94,5.17,4.12,0.96,0.311,66.7 %,50.0 %,10.6 %,5.36,4.75,4.73,0.1
Keith Butler,10080,STL,NULL,0,0,0,16,0,20,7.2,4.95,0,0.228,64.0 %,24.6 %,0.0 %,4.05,3.25,5.43,0.1
Matt Guerrier,2061,- - -,NULL,4,4,0,49,0,42.2,6.33,3.59,0.63,0.308,68.7 %,42.7 %,6.3 %,4.01,3.82,4.44,0.1
Luis Perez,6389,TOR,NULL,0,1,0,6,0,5,10.8,3.6,0,0.308,50.0 %,53.8 %,0.0 %,5.4,1.85,2.67,0.1
Jake Petricka,10534,CWS,NULL,1,1,0,16,0,19.1,4.66,4.66,0,0.313,77.4 %,62.9 %,0.0 %,3.26,3.72,4.43,0.1
Neil Wagner,8162,TOR,NULL,2,4,0,36,0,38,7.82,3.08,1.18,0.312,78.3 %,44.1 %,16.1 %,3.79,4.13,3.53,0.1
Mickey Storey,4721,TOR,NULL,0,0,0,3,0,4,13.5,2.25,0,0.5,57.1 %,25.0 %,0.0 %,6.75,0.8,3.19,0.1
Cesar Cabral,6741,NYY,NULL,0,0,0,8,0,3.2,14.73,2.45,0,0.429,80.0 %,28.6 %,0.0 %,2.45,1.41,1.78,0.1
Neftali Feliz,18,TEX,NULL,0,0,0,6,0,4.2,7.71,3.86,0,0.357,100.0 %,21.4 %,0.0 %,0,3.26,5.31,0.1
Donnie Joseph,6491,KCA,NULL,0,0,0,6,0,5.2,11.12,6.35,0,0.286,100.0 %,30.8 %,0.0 %,0,2.69,4.14,0.1
Jair Jurrjens,5556,BAL,NULL,0,0,0,2,1,7.1,7.36,1.23,1.23,0.348,69.8 %,25.0 %,7.1 %,4.91,3.59,4.43,0.1
Luis Ayala,1650,- - -,NULL,2,1,0,39,0,33,6,3.55,0.55,0.34,80.9 %,58.9 %,9.5 %,3.27,3.68,3.77,0.1
John Gast,11133,STL,NULL,2,0,0,3,3,12.1,5.84,3.65,0.73,0.263,61.6 %,53.8 %,8.3 %,5.11,4.02,4.3,0.1
Adam Warren,9029,NYY,NULL,3,2,1,34,2,77,7.48,3.51,1.17,0.311,84.7 %,45.3 %,13.2 %,3.39,4.32,3.98,0.1
Scott Atchison,2642,NYM,NULL,3,3,0,51,0,45.1,5.56,2.38,0.79,0.273,58.4 %,48.7 %,8.5 %,4.37,3.75,4.02,0.1
Darren Oliver,206,TOR,NULL,3,4,0,50,0,49,7.35,2.76,1.1,0.291,71.9 %,47.5 %,13.0 %,3.86,4.05,3.74,0.1
Charles Brewer,9155,ARI,NULL,0,0,0,4,0,6,7.5,3,0,0.4,80.0 %,45.0 %,0.0 %,3,2.38,3.75,0.1
J.J. Putz,1795,ARI,NULL,3,1,6,40,0,34.1,9.96,4.46,1.05,0.272,90.9 %,50.6 %,14.8 %,2.36,3.83,3.39,0.1
Chad Bettis,10587,COL,NULL,1,3,0,16,8,44.2,6.04,4.03,1.21,0.327,62.7 %,46.7 %,12.2 %,5.64,4.93,4.68,0.1
Matt Thornton,1918,- - -,NULL,0,4,0,60,0,43.1,6.23,3.12,0.83,0.316,75.3 %,50.7 %,9.8 %,3.74,4.04,4.13,0.1
Zach Britton,3240,BAL,NULL,2,3,0,8,7,40,4.05,3.83,0.9,0.338,73.0 %,58.0 %,12.5 %,4.95,4.8,4.59,0.1
Greg Burke,6282,NYM,NULL,0,3,0,32,0,31.2,7.96,4.26,0.85,0.364,57.6 %,51.8 %,10.3 %,5.68,3.93,3.95,0.1
Jose Dominguez,11571,LAD,NULL,0,0,0,9,0,8.1,4.32,3.24,0,0.355,80.0 %,36.7 %,0.0 %,2.16,3.53,5.33,0.1
Brad Hand,9111,MIA,NULL,1,1,0,7,2,20.2,6.53,3.48,0.87,0.193,76.9 %,42.4 %,9.1 %,3.05,4.02,4.21,0.1
Mauricio Robles,8895,PHI,NULL,0,0,0,3,0,4.2,11.57,5.79,0,0.438,70.0 %,50.0 %,0.0 %,1.93,2.4,4.16,0.1
Chris Rusin,9895,CHC,NULL,2,6,0,13,13,66.1,4.88,3.26,1.09,0.275,77.0 %,48.1 %,12.9 %,3.93,4.75,4.46,0.1
Jeremy Jeffress,9490,TOR,NULL,1,0,0,10,0,10.1,10.45,4.35,0.87,0.28,100.0 %,69.2 %,50.0 %,0.87,3.43,2.44,0.1
Dale Thayer,5032,SDN,NULL,3,5,1,69,0,65,8.86,3.05,1.11,0.293,80.8 %,41.2 %,12.3 %,3.32,3.79,3.55,0.1
Luke Putkonen,6736,DET,NULL,1,3,0,30,0,29.2,8.49,2.73,1.21,0.302,83.8 %,55.7 %,13.3 %,3.03,3.82,3.45,0.1
Phil Irwin,9489,PIT,NULL,0,0,0,1,1,4.2,7.71,7.71,0,0.4,50.0 %,64.3 %,0.0 %,7.71,3.9,4.49,0.1
Fernando Salas,4971,STL,NULL,0,3,0,27,0,28,7.07,1.93,0.96,0.279,63.8 %,32.2 %,6.5 %,4.5,3.62,4.47,0.1
Phillippe Aumont,5362,PHI,NULL,1,3,0,22,0,19.1,8.84,6.05,0,0.4,72.5 %,49.2 %,0.0 %,4.19,3.57,4.48,0.1
Michael Kirkman,9877,TEX,NULL,0,2,1,25,0,22,10.23,6.14,0.82,0.466,64.3 %,37.3 %,7.7 %,8.18,4,4.44,0.1
Chad Billingsley,5842,LAD,NULL,1,0,0,2,2,12,4.5,3.75,0.75,0.297,83.3 %,41.7 %,8.3 %,3,4.38,4.66,0.1
Wesley Wright,5960,- - -,NULL,0,4,0,71,0,53.2,9.22,3.19,1.17,0.318,78.6 %,50.3 %,16.3 %,3.69,3.92,3.32,0.1
Tyler Skaggs,10190,ARI,NULL,2,3,0,7,7,38.2,8.38,3.49,1.63,0.282,70.8 %,44.8 %,17.1 %,5.12,4.86,3.95,0.1
Logan Ondrusek,3677,CIN,NULL,3,1,0,52,0,55,8.67,2.62,1.31,0.29,74.8 %,45.5 %,14.3 %,4.09,3.94,3.44,0.1
Dellin Betances,6216,NYY,NULL,0,0,0,6,0,5,18,3.6,1.8,0.615,52.1 %,35.7 %,25.0 %,10.8,2.85,1.34,0
Erasmo Ramirez,10314,SEA,NULL,5,3,0,14,13,72.1,7.09,3.24,1.49,0.3,70.2 %,42.5 %,14.3 %,4.98,4.83,4.26,0
David Martinez,8893,HOU,NULL,1,0,0,4,0,11.1,4.76,2.38,0.79,0.357,45.5 %,41.0 %,5.9 %,7.15,3.93,4.83,0
Justin De Fratus,4955,PHI,NULL,3,3,0,58,0,46.2,8.1,4.82,0.58,0.316,76.3 %,43.6 %,7.5 %,3.86,4.01,4.35,0
Steven Ames,9615,MIA,NULL,0,1,0,4,0,4,9,4.5,0,0.462,75.0 %,58.3 %,0.0 %,4.5,2.55,3.23,0
Alfredo Simon,2155,CIN,NULL,6,4,1,63,0,87.2,6.47,2.67,0.82,0.236,78.2 %,45.3 %,8.6 %,2.87,3.96,4.22,0
Josh Beckett,510,LAD,NULL,0,5,0,8,8,43.1,8.52,3.12,1.66,0.323,65.7 %,39.1 %,16.3 %,5.19,4.66,3.81,0
Cody Eppley,9095,NYY,NULL,0,0,0,2,0,1.2,5.4,0,0,0.571,0.0 %,85.7 %,0.0 %,21.6,1.85,1.85,0
Xavier Cedeno,36,- - -,NULL,0,0,0,16,0,12.1,6.57,5.84,0,0.366,52.0 %,60.0 %,0.0 %,6.57,4.02,5.13,0
Jake Westbrook,412,STL,NULL,7,8,0,21,19,116.2,3.39,3.86,0.54,0.303,67.5 %,56.3 %,7.4 %,4.63,4.62,4.95,0
Evan Scribner,7525,OAK,NULL,0,0,0,18,0,26.2,6.41,2.36,1.01,0.271,69.4 %,35.2 %,7.3 %,4.39,3.87,4.51,0
Michael Stutes,6550,PHI,NULL,3,1,0,16,0,17.2,4.58,4.08,0.51,0.232,55.6 %,40.0 %,4.2 %,4.58,4.29,5.41,0
Evan Reed,1349,DET,NULL,0,1,0,16,0,23.1,6.56,3.09,0.77,0.338,61.4 %,52.6 %,10.0 %,4.24,3.86,3.92,0
Sandy Rosario,1525,SFN,NULL,3,2,0,43,0,41.2,5.18,4.32,0.22,0.274,76.0 %,44.7 %,2.6 %,3.02,3.65,4.58,0
Chris Dwyer,10045,KCA,NULL,0,0,0,2,0,3,6,3,0,0.25,100.0 %,50.0 %,0.0 %,0,2.71,4.08,0
Zach Duke,3840,- - -,NULL,1,2,0,26,1,31.1,5.17,2.87,0.86,0.327,59.0 %,50.5 %,9.4 %,6.03,4.2,4.35,0
Hector Noesi,3292,SEA,NULL,0,1,0,12,1,27.1,6.91,3.95,0.99,0.402,66.9 %,36.4 %,8.3 %,6.59,4.36,4.74,0
Steve Johnson,4053,BAL,NULL,1,1,0,9,1,15.2,11.49,7.47,1.15,0.316,57.9 %,25.6 %,11.1 %,7.47,4.64,4.55,0
Duke Welker,792,PIT,NULL,0,0,0,2,0,1.1,6.75,0,0,0,100.0 %,33.3 %,0.0 %,0,1.55,3.6,0
C.C. Lee,5177,CLE,NULL,0,0,0,8,0,4.1,8.31,6.23,0,0.286,62.5 %,30.8 %,0.0 %,4.15,3.97,6.18,0
David Murphy,6035,TEX,NULL,0,0,0,1,0,1,9,0,0,0.333,100.0 %,0.0 %,0.0 %,0,1.05,2.41,0
Ryan Raburn,2218,CLE,NULL,0,0,0,1,0,1,9,0,0,0,100.0 %,100.0 %,0.0 %,0,1.05,1.05,0
Steven Wright,8185,BOS,NULL,2,0,0,4,1,13.1,6.75,6.07,0,0.308,63.6 %,38.5 %,0.0 %,5.4,3.8,5.23,0
Josh Zeid,6527,HOU,NULL,0,1,1,25,0,27.2,7.81,3.9,0.98,0.295,77.6 %,48.1 %,13.6 %,3.9,4.13,3.81,0
John McDonald,395,PHI,NULL,0,0,0,1,0,0.1,27,0,0,1,100.0 %,50.0 %,0.0 %,0,-2.95,-2.95,0
Arquimedes Caminero,8992,MIA,NULL,0,0,0,13,0,13,8.31,2.08,1.38,0.235,89.3 %,25.0 %,9.5 %,2.77,4.12,4.33,0
Rob Johnson,8029,STL,NULL,0,0,0,1,0,0.1,27,0,0,0,100.0 %,0.0 %,0.0 %,0,-2.95,-2.95,0
Alex Burnett,4065,- - -,NULL,0,0,0,3,0,2.1,7.71,7.71,0,0.5,57.1 %,30.0 %,0.0 %,11.57,3.9,6.83,0
P.J. Walters,9557,MIN,NULL,2,5,0,8,8,39.1,5.03,4.12,1.14,0.336,63.5 %,39.7 %,9.4 %,5.95,5.03,5.22,0
Josh Tomlin,9388,CLE,NULL,0,0,0,1,0,2,0,0,0,0.222,100.0 %,37.5 %,0.0 %,0,3.05,6.46,0
Cristhian Martinez,5337,ATL,NULL,0,0,0,2,0,2.1,0,0,0,0.417,60.0 %,58.3 %,0.0 %,7.71,3.05,3.63,0
Everett Teaford,3732,KCA,NULL,0,0,0,1,0,0.2,0,0,0,0.333,100.0 %,0.0 %,0.0 %,0,3.05,7.15,0
Octavio Dotel,555,DET,NULL,0,0,0,6,0,4.2,7.71,7.71,0,0.5,50.0 %,35.0 %,0.0 %,13.5,3.9,5.66,0
Jake Elmore,7290,HOU,NULL,0,0,0,1,0,1,0,0,0,0,100.0 %,66.7 %,0.0 %,0,3.05,4.41,0
Jamey Carroll,1591,MIN,NULL,0,0,0,1,0,1,0,0,0,0,100.0 %,33.3 %,0.0 %,0,3.05,4.41,0
Alberto Gonzalez,4906,NYY,NULL,0,0,0,1,0,0.1,0,0,0,0,100.0 %,0.0 %,0.0 %,0,3.05,7.15,0
Sam Fuld,8254,TBA,NULL,0,0,0,1,0,0.1,0,0,0,0,100.0 %,0.0 %,0.0 %,0,3.05,7.15,0
Josh Harrison,8202,PIT,NULL,0,0,0,1,0,0.1,0,0,0,0,100.0 %,0.0 %,0.0 %,0,3.05,7.15,0
Manny Corpas,2807,COL,NULL,1,2,0,31,0,41.2,6.48,3.46,1.08,0.278,72.0 %,44.9 %,12.5 %,4.54,4.39,4.14,0
Shawn Tolleson,10481,LAD,NULL,0,0,0,1,0,0,0,18,0,0,100.0 %,0.0 %,0.0 %,0,9.05,9.05,0
Joe Savery,2835,PHI,NULL,2,0,0,18,0,20,6.3,4.95,0.45,0.233,61.0 %,55.0 %,5.9 %,3.15,3.95,4.46,0
Logan Kensing,6166,COL,NULL,0,0,0,1,0,0.2,13.5,13.5,0,0,100.0 %,0.0 %,0.0 %,0,4.55,4.55,0
Phil Coke,5535,DET,NULL,0,5,1,49,0,38.1,7.04,4.93,0.7,0.325,66.9 %,45.5 %,7.3 %,5.4,4.14,4.59,0
Randall Delgado,5985,ARI,NULL,5,7,0,20,19,116.1,6.11,1.78,1.86,0.266,76.1 %,42.1 %,17.3 %,4.26,4.99,3.94,0
Duane Below,3124,MIA,NULL,0,1,0,2,0,2.2,6.75,6.75,0,0.545,62.5 %,36.4 %,0.0 %,10.12,3.8,5.85,0
David Huff,4257,- - -,NULL,3,1,0,14,2,37.2,7.41,2.15,1.67,0.252,60.2 %,40.4 %,17.9 %,5.5,4.61,3.61,0
Chris Narveson,2141,MIL,NULL,0,0,0,2,0,2,0,4.5,0,0.143,100.0 %,50.0 %,0.0 %,0,4.55,5.91,0
Alex Colome,6661,TBA,NULL,1,1,0,3,3,16,6.75,5.06,1.13,0.255,75.5 %,42.9 %,11.8 %,2.25,5.05,4.87,0
Kevin Chapman,11240,HOU,NULL,1,1,1,25,0,20.1,6.64,5.75,0.44,0.211,82.0 %,38.9 %,4.8 %,1.77,4.28,5.05,0
Wade LeBlanc,5221,- - -,NULL,1,5,0,17,7,55,5.4,3.27,1.15,0.332,64.6 %,39.1 %,9.1 %,5.4,4.76,5.02,0
Zach Clark,9189,BAL,NULL,0,0,0,1,0,1.2,5.4,10.8,0,0.429,40.0 %,42.9 %,0.0 %,16.2,5.45,8.73,0
Clay Rapada,4831,CLE,NULL,0,0,0,4,0,2,0,9,0,0.143,100.0 %,28.6 %,0.0 %,0,6.05,8.1,0
Wilmer Font,5257,TEX,NULL,0,0,0,2,0,1.1,0,13.5,0,0.2,100.0 %,20.0 %,0.0 %,0,7.55,11.65,0
Ross Wolf,4534,TEX,NULL,1,3,0,22,3,47.2,3.97,2.83,0.94,0.321,74.6 %,47.3 %,11.4 %,4.15,4.54,4.43,0
Jose Cisnero,6399,HOU,NULL,2,2,0,28,0,43.2,8.45,4.53,1.03,0.341,75.4 %,37.6 %,10.0 %,4.12,4.24,4.31,0
Jeff Beliveau,8504,TBA,NULL,0,0,0,1,0,0.2,0,13.5,0,0.333,100.0 %,33.3 %,0.0 %,0,7.55,9.6,0
Rafael Dolis,4185,CHC,NULL,0,0,0,5,0,5,0,3.6,0,0.158,60.0 %,36.8 %,0.0 %,0,4.25,6.16,0
Zach Putnam,9080,CHC,NULL,0,0,0,5,0,3.1,10.8,0,2.7,0.571,26.3 %,53.3 %,33.3 %,18.9,4.55,1.88,0
Ryan Brasier,5615,LAA,NULL,0,0,0,7,0,9,7,4,1,0.261,93.8 %,37.5 %,9.1 %,2,4.27,4.5,0
Simon Castro,9243,CWS,NULL,0,1,0,4,0,6.2,8.1,4.05,1.35,0.235,92.1 %,23.5 %,11.1 %,2.7,5,4.89,0
Chris Bootcheck,1842,NYY,NULL,0,0,0,1,0,1,9,18,0,0.5,75.0 %,50.0 %,0.0 %,9,7.05,8.41,0
Pedro Beato,1330,BOS,NULL,1,1,0,10,0,10,4.5,1.8,0.9,0.297,73.5 %,31.6 %,5.0 %,3.6,4.25,5.68,0
Miles Mikolas,9803,SDN,NULL,0,0,0,2,0,1.2,5.4,5.4,0,0,100.0 %,0.0 %,0.0 %,0,5.45,7.91,0
Matt Harrison,5551,TEX,NULL,0,2,0,2,2,10.2,10.12,5.91,1.69,0.4,55.0 %,45.2 %,20.0 %,8.44,5.2,4.05,0
Enny Romero,4001,TBA,NULL,0,0,0,1,1,4.2,0,7.71,0,0.071,100.0 %,64.3 %,0.0 %,0,5.62,6.79,0
Cesar Jimenez,3762,PHI,NULL,1,1,0,19,0,17,5.82,5.29,0.53,0.245,76.3 %,38.5 %,4.2 %,3.71,4.46,5.62,0
Daniel Bard,7115,BOS,NULL,0,0,0,2,0,1,9,18,0,0.333,66.7 %,33.3 %,0.0 %,9,7.05,8.41,0
Joe Paterson,2565,ARI,NULL,0,0,0,2,0,2.1,7.71,0,0,0.333,80.0 %,33.3 %,0.0 %,3.86,5.19,6.36,0
Javy Guerra,7407,LAD,NULL,0,0,0,9,0,10.2,10.13,5.06,0.84,0.4,63.1 %,38.9 %,10.0 %,6.75,3.99,4.05,0
Preston Guilmet,7303,CLE,NULL,0,0,0,4,0,5.1,1.69,5.06,0,0.333,45.5 %,33.3 %,0.0 %,10.12,4.36,6.92,0
Ryan Reid,9385,PIT,NULL,0,0,1,7,0,11,5.73,2.45,0.82,0.235,95.2 %,51.5 %,11.1 %,1.64,4.32,4.26,0
Alberto Cabrera,8352,CHC,NULL,0,0,0,7,0,6,6,7.5,0,0.35,76.9 %,31.6 %,0.0 %,4.5,4.71,6.08,0
Troy Patton,8368,BAL,NULL,2,0,0,56,0,56,6.75,2.57,1.29,0.295,78.7 %,45.3 %,12.7 %,3.7,4.42,4.1,0
Josh Lueke,5722,TBA,NULL,0,2,0,19,0,21.1,10.55,5.06,1.27,0.345,75.5 %,31.7 %,9.4 %,5.06,4.36,4.58,0
Skip Schumaker,3704,LAD,NULL,0,0,0,2,0,2,4.5,13.5,0,0.375,100.0 %,25.0 %,0.0 %,0,6.55,7.91,0
David Holmberg,7725,ARI,NULL,0,0,0,1,1,3.2,0,7.36,0,0.353,66.7 %,25.0 %,0.0 %,7.36,5.5,8.48,0
Blake Wood,1345,CLE,NULL,0,0,0,2,0,1.1,6.75,20.25,0,0.25,100.0 %,50.0 %,0.0 %,0,8.3,9.32,0
Justin Germano,1938,TOR,NULL,0,0,0,1,0,2,4.5,0,4.5,0.5,87.0 %,45.5 %,33.3 %,9,8.55,4.1,0
Raul Valdes,1953,PHI,NULL,1,1,0,17,1,35,9.51,2.06,1.8,0.357,54.5 %,31.1 %,14.0 %,7.46,4.39,3.74,0
Franklin Morales,5088,BOS,NULL,2,2,0,20,1,25.1,7.46,5.33,0.71,0.31,74.0 %,38.9 %,7.4 %,4.62,4.55,4.98,0
James Russell,4089,CHC,NULL,1,6,0,74,0,52.2,6.32,3.08,1.2,0.258,79.7 %,33.3 %,8.9 %,3.59,4.45,4.77,0
Santiago Casilla,2873,SFN,NULL,7,2,2,57,0,50,6.84,4.5,0.36,0.262,82.3 %,53.6 %,5.0 %,2.16,3.67,4.24,0
Pedro Feliciano,1601,NYM,NULL,0,2,0,25,0,11.1,7.15,4.76,0.79,0.294,78.3 %,41.9 %,8.3 %,3.97,4.46,4.76,-0.1
Brian Omogrosso,1353,CWS,NULL,0,2,0,12,0,16.1,8.82,4.96,1.1,0.464,56.8 %,43.1 %,9.5 %,9.37,4.52,4.68,-0.1
Kyle Farnsworth,278,- - -,NULL,3,1,2,48,0,38.1,6.57,2.35,1.17,0.322,72.3 %,45.5 %,13.9 %,4.7,4.14,3.73,-0.1
Josh Edgin,10796,NYM,NULL,1,1,1,34,0,28.2,6.28,3.77,0.63,0.279,75.3 %,43.0 %,5.7 %,3.77,4.02,4.79,-0.1
Eric O'Flaherty,5746,ATL,NULL,3,0,0,19,0,18,5.5,2.5,1,0.192,84.5 %,57.7 %,13.3 %,2.5,4.1,3.8,-0.1
Aaron Laffey,6248,- - -,NULL,0,0,0,5,3,12.2,6.39,7.11,0.71,0.405,69.9 %,42.5 %,8.3 %,7.11,5.5,5.76,-0.1
Josh Stinson,3219,BAL,NULL,0,0,0,11,1,17,6.35,1.59,2.12,0.14,83.3 %,46.8 %,23.5 %,3.18,5.4,3.71,-0.1
Chris Volstad,9901,COL,NULL,0,0,0,6,0,8.1,3.24,1.08,1.08,0.45,58.3 %,41.5 %,7.7 %,10.8,4.97,5.54,-0.1
Sean Burnett,1886,LAA,NULL,0,0,0,13,0,9.2,6.52,3.72,0.93,0.286,100.0 %,63.0 %,20.0 %,0.93,4.19,3.55,-0.1
Chris Hatcher,3299,MIA,NULL,0,1,0,7,0,8.2,7.27,4.15,1.04,0.375,25.6 %,35.5 %,9.1 %,12.46,4.32,4.55,-0.1
Justin Freeman,7568,CIN,NULL,0,0,0,1,0,1,0,0,9,0.25,0.0 %,40.0 %,33.3 %,18,16.05,7.15,-0.1
